,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,class
TCGA-DK-AA6Q,-0.21504341,0.40527123,0.59848887,0.46565312,-2.5216994,0.091706306,0.84799504,1.3803369,0.76987153,0.97600806,0.1824324,-0.65129817,-0.87753093,-0.5547669,0.7499005,-0.33611277,0.3503512,-0.5957152,-0.9388455,-1.7478719,1.327809,1.1312597,-0.9154085,-0.8959638,Ba/Sq
TCGA-DK-AA6R,-0.20663229,0.9799224,0.963178,2.0363393,-3.9229112,0.064138636,0.40641245,2.2605982,1.2253153,0.82698417,0.26844117,-0.38261434,-1.2886797,-1.9075243,0.6994897,-0.90880406,0.60721624,-1.1336657,-1.7487639,-2.5154321,2.1926908,2.3051143,-0.82562256,-1.5067672,Ba/Sq
TCGA-DK-AA6S,0.21847245,0.13835321,-0.10104558,0.042824253,-0.9606198,-0.3520391,0.39794427,0.77067554,-0.027703103,0.86870205,-0.030270703,-0.3309099,-0.6511885,-0.72810334,0.5852023,-0.35795656,0.5831959,0.011723012,-0.4629784,-0.4970969,0.37233227,0.70083606,-0.7167983,-0.26859364,Ba/Sq
TCGA-DK-AA6T,0.16963676,-0.5271236,-0.15421535,-0.7500228,-1.5777957,-0.30248097,1.3487588,1.0152699,0.0742474,2.065807,-0.17123994,-0.4869269,-0.7688859,0.07205254,1.060084,0.3465003,0.27705872,0.10273463,-0.66459966,-1.4860957,1.0517036,0.78009367,-1.4187515,-0.17808524,Stroma-rich
TCGA-DK-AA6U,-2.468525,0.95208466,0.3097801,0.90652823,-2.4360316,1.3795884,1.3418016,2.4552798,0.556402,-0.21277383,0.8346147,-1.1995144,-0.69990104,-0.4256894,0.9667025,-0.10133551,1.4450586,0.18710622,-1.9135445,-1.5857025,0.38954398,-0.037621737,-0.5913089,0.74874544,LumU
TCGA-DK-AA6W,-0.6854348,0.58071625,0.16196042,0.54066867,-1.7759253,0.30508155,0.80180496,1.4065814,0.22260848,0.34142554,0.4548049,-0.694862,-0.7707963,-0.82865155,0.5296253,-0.16905835,0.8349911,-0.11731372,-1.0129621,-0.9671283,0.5390851,0.73888963,-0.659532,-0.029569462,NE-like
TCGA-DK-AA6X,-0.106523275,1.5198417,-0.312574,0.28660035,-3.1376295,-1.0862651,0.8374797,1.4140067,0.7148599,1.3030277,0.30888715,-1.2728835,-1.9857744,-0.7344425,1.353872,-0.6734074,0.6227382,0.14148203,-1.8002104,-1.5905099,0.49974066,0.8281213,-1.9821303,-0.55635554,LumP
TCGA-DK-AA71,-0.84510946,1.4777728,0.12211943,0.19208077,-4.3797755,-0.5648549,1.394187,1.9179269,1.613132,1.5368456,0.7601034,-1.8330808,-2.0522408,-0.114378855,1.3206655,-0.10016537,0.053842485,-0.14109212,-2.010868,-2.8987727,1.2987993,0.73387086,-2.5469155,-0.6395695,LumP
TCGA-DK-AA74,0.77057433,0.023598865,-0.071561426,-1.0773137,-3.7348468,-1.499392,1.3279285,1.224722,0.96059644,3.8805246,-0.91044617,-0.29774663,-1.7860414,0.10742411,1.7923819,0.39635763,0.2097374,0.43126485,-1.6174535,-2.5450346,1.9383879,1.1996725,-3.1373682,-0.8034056,Ba/Sq
TCGA-DK-AA75,-0.57878196,1.2365338,-0.21962187,-0.9670379,-4.959056,-1.1002617,2.026406,1.7854345,1.7091446,2.6750214,0.413652,-1.8782511,-2.4325995,0.48327607,1.8532321,0.4706128,-0.034243375,0.6706137,-2.254432,-3.1938372,1.308497,0.6088507,-3.5910418,-0.30254263,LumU
TCGA-DK-AA76,-2.3738914,2.1661077,-0.15114665,1.5592301,-3.6968472,-0.13754211,1.4330995,2.537155,0.9785471,0.018978298,1.2288254,-2.3184924,-1.8911839,-0.7917927,1.0703851,-0.54244405,1.0832859,-0.20001623,-2.7982697,-2.0734248,0.30430603,0.20264179,-1.2256327,0.17783767,LumP
